Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
94,2023-02-03,CUST094,Female,40,Electronics,3,500,1500
95,2023-02-04,CUST095,Male,63,Beauty,1,50,50
96,2023-02-04,CUST096,Female,35,Clothing,1,50,50
97,2023-02-05,CUST097,Male,62,Beauty,4,25,100
98,2023-02-05,CUST098,Female,40,Clothing,2,50,100
99,2023-02-05,CUST099,Female,31,Electronics,3,500,1500
100,2023-02-06,CUST100,Male,20,Electronics,3,500,1500
101,2023-02-06,CUST101,Male,29,Electronics,4,300,1200
102,2023-02-06,CUST102,Male,27,Beauty,3,25,75
103,2023-02-07,CUST103,Female,58,Clothing,3,50,150
104,2023-02-07,CUST104,Male,22,Clothing,3,50,150
105,2023-02-07,CUST105,Female,28,Clothing,1,25,25
106,2023-02-08,CUST106,Male,24,Electronics,3,300,900
107,2023-02-08,CUST107,Male,62,Beauty,3,30,90
108,2023-02-09,CUST108,Male,26,Clothing,2,300,600
109,2023-02-09,CUST109,Male,26,Beauty,4,25,100
110,2023-02-09,CUST110,Female,26,Clothing,4,300,1200
111,2023-02-10,CUST111,Female,62,Clothing,1,50,50
112,2023-02-10,CUST112,Male,55,Clothing,3,300,900
113,2023-02-10,CUST113,Female,36,Beauty,3,50,150
114,2023-02-11,CUST114,Male,20,Clothing,3,25,75
115,2023-02-11,CUST115,Female,23,Beauty,3,25,75
116,2023-02-12,CUST116,Female,47,Clothing,1,300,300
117,2023-02-12,CUST117,Male,55,Beauty,2,25,50
118,2023-02-12,CUST118,Female,54,Clothing,4,300,1200
119,2023-02-13,CUST119,Female,60,Clothing,2,300,600
120,2023-02-13,CUST120,Male,47,Clothing,3,50,150
121,2023-02-13,CUST121,Male,45,Beauty,2,50,100
122,2023-02-14,CUST122,Male,35,Clothing,2,50,100
123,2023-02-14,CUST123,Female,29,Clothing,4,25,100
124,2023-02-14,CUST124,Male,26,Clothing,2,300,600
125,2023-02-15,CUST125,Female,42,Electronics,2,500,1000
126,2023-02-15,CUST126,Male,21,Electronics,2,500,1000
127,2023-02-16,CUST127,Female,29,Electronics,1,500,500
128,2023-02-16,CUST128,Female,33,Clothing,1,50,50
129,2023-02-16,CUST129,Male,21,Beauty,1,50,50
130,2023-02-17,CUST130,Male,54,Clothing,2,25,50
131,2023-02-17,CUST131,Female,57,Beauty,1,50,50
132,2023-02-17,CUST132,Male,39,Clothing,2,25,50
133,2023-02-18,CUST133,Male,47,Beauty,2,30,60
134,2023-02-18,CUST134,Male,21,Clothing,1,300,300
135,2023-02-18,CUST135,Male,29,Electronics,3,500,1500
136,2023-02-19,CUST136,Male,33,Clothing,2,25,50
137,2023-02-19,CUST137,Female,63,Electronics,2,500,1000
138,2023-02-20,CUST138,Female,44,Beauty,4,30,120
139,2023-02-20,CUST139,Male,33,Clothing,1,25,25
140,2023-02-20,CUST140,Male,51,Electronics,4,300,1200
141,2023-02-21,CUST141,Female,29,Beauty,2,30,60
142,2023-02-21,CUST142,Male,23,Electronics,4,300,1200
143,2023-02-21,CUST143,Male,48,Beauty,2,50,100
144,2023-02-22,CUST144,Female,22,Clothing,4,300,1200
145,2023-02-22,CUST145,Female,50,Clothing,2,25,50
146,2023-02-22,CUST146,Female,55,Clothing,1,300,300
147,2023-02-23,CUST147,Female,61,Electronics,4,500,2000
148,2023-02-23,CUST148,Female,63,Electronics,4,300,1200
149,2023-02-24,CUST149,Female,47,Clothing,3,300,900
150,2023-02-24,CUST150,Female,45,Clothing,3,25,75
151,2023-02-24,CUST151,Female,57,Electronics,1,500,500
152,2023-02-25,CUST152,Female,45,Electronics,2,300,600
153,2023-02-25,CUST153,Female,47,Electronics,3,300,900
154,2023-02-25,CUST154,Male,26,Clothing,1,50,50
155,2023-02-26,CUST155,Male,29,Clothing,1,50,50
156,2023-02-26,CUST156,Male,51,Electronics,2,500,1000
157,2023-02-26,CUST157,Female,32,Beauty,2,25,50
158,2023-02-27,CUST158,Female,56,Clothing,4,300,1200
159,2023-02-27,CUST159,Male,29,Electronics,4,300,1200
160,2023-02-28,CUST160,Female,28,Beauty,1,25,25
161,2023-02-28,CUST161,Male,43,Electronics,1,300,300
162,2023-02-28,CUST162,Male,50,Clothing,1,300,300
163,2023-03-01,CUST163,Male,58,Clothing,4,25,100
164,2023-03-01,CUST164,Male,24,Electronics,3,500,1500
165,2023-03-01,CUST165,Male,48,Beauty,2,50,100
166,2023-03-02,CUST166,Female,40,Electronics,1,500,500
167,2023-03-02,CUST167,Female,29,Beauty,4,50,200
168,2023-03-03,CUST168,Male,53,Clothing,4,25,100
169,2023-03-03,CUST169,Female,38,Clothing,2,25,50
170,2023-03-03,CUST170,Female,22,Electronics,3,300,900
171,2023-03-04,CUST171,Male,22,Electronics,1,500,500
172,2023-03-04,CUST172,Male,47,Beauty,2,50,100
173,2023-03-04,CUST173,Female,45,Electronics,4,300,1200
174,2023-03-05,CUST174,Male,37,Clothing,3,25,75
175,2023-03-05,CUST175,Female,58,Electronics,1,300,300
176,2023-03-05,CUST176,Male,44,Electronics,4,300,1200
177,2023-03-06,CUST177,Female,44,Clothing,4,300,1200
178,2023-03-06,CUST178,Male,27,Clothing,2,300,600
179,2023-03-07,CUST179,Male,49,Electronics,4,500,2000
180,2023-03-07,CUST180,Female,48,Electronics,1,300,300
181,2023-03-07,CUST181,Male,35,Beauty,4,50,200
182,2023-03-08,CUST182,Male,25,Electronics,2,300,600
183,2023-03-08,CUST183,Female,53,Electronics,2,300,600
184,2023-03-08,CUST184,Female,27,Clothing,3,50,150
185,2023-03-09,CUST185,Male,46,Beauty,3,25,75
186,2023-03-09,CUST186,Male,25,Electronics,4,500,2000
187,2023-03-09,CUST187,Male,21,Electronics,4,500,2000
188,2023-03-10,CUST188,Female,25,Beauty,4,25,100
189,2023-03-10,CUST189,Male,26,Electronics,3,300,900
190,2023-03-11,CUST190,Female,55,Beauty,3,30,90
191,2023-03-11,CUST191,Male,23,Electronics,4,300,1200
192,2023-03-11,CUST192,Male,51,Beauty,3,30,90
193,2023-03-12,CUST193,Female,46,Clothing,2,50,100
194,2023-03-12,CUST194,Female,64,Electronics,3,500,1500
195,2023-03-12,CUST195,Male,56,Electronics,2,300,600
196,2023-03-13,CUST196,Male,26,Beauty,4,50,200
197,2023-03-13,CUST197,Male,19,Electronics,2,300,600
198,2023-03-13,CUST198,Female,20,Clothing,1,25,25
199,2023-03-14,CUST199,Male,34,Electronics,4,500,2000
200,2023-03-14,CUST200,Female,20,Electronics,2,500,1000
201,2023-03-15,CUST201,Male,29,Beauty,2,30,60
202,2023-03-15,CUST202,Female,49,Electronics,3,500,1500
203,2023-03-15,CUST203,Female,28,Beauty,2,50,100
204,2023-03-16,CUST204,Male,38,Electronics,3,500,1500
205,2023-03-16,CUST205,Male,54,Beauty,2,50,100
206,2023-03-16,CUST206,Male,32,Beauty,2,25,50
207,2023-03-17,CUST207,Male,25,Electronics,3,500,1500
208,2023-03-17,CUST208,Male,47,Clothing,1,25,25
209,2023-03-17,CUST209,Male,23,Electronics,2,500,1000
210,2023-03-18,CUST210,Male,32,Beauty,2,50,100
211,2023-03-18,CUST211,Female,64,Beauty,4,50,200
212,2023-03-19,CUST212,Male,33,Clothing,3,300,900
213,2023-03-19,CUST213,Female,50,Electronics,3,300,900
214,2023-03-19,CUST214,Male,41,Clothing,1,300,300
215,2023-03-20,CUST215,Male,45,Electronics,4,300,1200
216,2023-03-20,CUST216,Male,24,Clothing,1,25,25
217,2023-03-20,CUST217,Female,27,Clothing,1,25,25
218,2023-03-21,CUST218,Female,19,Electronics,2,300,600
219,2023-03-21,CUST219,Female,29,Clothing,2,50,100
220,2023-03-22,CUST220,Male,41,Electronics,3,300,900
221,2023-03-22,CUST221,Male,24,Beauty,4,30,120
222,2023-03-22,CUST222,Male,58,Clothing,3,25,75
223,2023-03-23,CUST223,Male,54,Beauty,4,25,100
224,2023-03-23,CUST224,Female,30,Beauty,3,25,75
225,2023-03-23,CUST225,Female,53,Clothing,1,25,25
226,2023-03-24,CUST226,Female,23,Electronics,1,500,500
227,2023-03-24,CUST227,Male,30,Beauty,1,25,25
228,2023-03-24,CUST228,Male,36,Electronics,2,300,600
229,2023-03-25,CUST229,Female,18,Electronics,4,500,2000
230,2023-03-25,CUST230,Female,19,Beauty,4,25,100
231,2023-03-26,CUST231,Male,38,Electronics,2,500,1000
232,2023-03-26,CUST232,Female,31,Electronics,4,300,1200
233,2023-03-26,CUST233,Male,44,Electronics,3,300,900
234,2023-03-27,CUST234,Male,61,Clothing,1,25,25
235,2023-03-27,CUST235,Female,39,Clothing,2,25,50
236,2023-03-27,CUST236,Female,32,Clothing,1,25,25
237,2023-03-28,CUST237,Male,31,Clothing,4,300,1200
238,2023-03-28,CUST238,Female,58,Electronics,2,500,1000
239,2023-03-28,CUST239,Male,21,Beauty,4,30,120
240,2023-03-29,CUST240,Female,59,Electronics,1,500,500
241,2023-03-29,CUST241,Male,35,Electronics,4,300,1200
242,2023-03-30,CUST242,Female,23,Clothing,2,50,100
243,2023-03-30,CUST243,Female,44,Electronics,4,300,1200
244,2023-03-30,CUST244,Female,45,Electronics,2,300,600
245,2023-03-31,CUST245,Male,61,Electronics,2,300,600
246,2023-03-31,CUST246,Female,63,Clothing,2,50,100
247,2023-03-31,CUST247,Female,59,Clothing,3,300,900
248,2023-04-01,CUST248,Female,31,Beauty,4,50,200
249,2023-04-01,CUST249,Female,63,Beauty,4,30,120
250,2023-04-01,CUST250,Male,35,Electronics,1,500,500
251,2023-04-02,CUST251,Female,40,Electronics,2,500,1000
252,2023-04-02,CUST252,Male,49,Beauty,2,25,50
253,2023-04-03,CUST253,Female,43,Beauty,1,30,30
254,2023-04-03,CUST254,Male,46,Electronics,4,500,2000
255,2023-04-03,CUST255,Female,31,Clothing,4,50,200
256,2023-04-04,CUST256,Male,25,Beauty,4,25,100
257,2023-04-04,CUST257,Male,44,Beauty,2,25,50
258,2023-04-04,CUST258,Female,35,Clothing,2,25,50
259,2023-04-05,CUST259,Male,22,Electronics,1,300,300
260,2023-04-05,CUST260,Female,61,Beauty,3,30,90
261,2023-04-05,CUST261,Male,48,Electronics,3,300,900
262,2023-04-06,CUST262,Male,46,Beauty,2,50,100
263,2023-04-06,CUST263,Female,26,Electronics,4,500,2000
264,2023-04-07,CUST264,Female,45,Beauty,4,50,200
265,2023-04-07,CUST265,Male,24,Clothing,3,25,75
266,2023-04-07,CUST266,Male,25,Clothing,4,50,200
267,2023-04-08,CUST267,Male,44,Electronics,3,300,900
268,2023-04-08,CUST268,Female,29,Clothing,2,50,100
269,2023-04-08,CUST269,Female,55,Electronics,2,500,1000
270,2023-04-09,CUST270,Female,47,Beauty,4,25,100
271,2023-04-09,CUST271,Male,38,Clothing,4,25,100
272,2023-04-10,CUST272,Male,47,Beauty,3,30,90
273,2023-04-10,CUST273,Female,46,Electronics,4,500,2000
274,2023-04-10,CUST274,Female,41,Beauty,2,30,60
275,2023-04-11,CUST275,Male,27,Electronics,4,500,2000
276,2023-04-11,CUST276,Male,18,Clothing,4,50,200
277,2023-04-11,CUST277,Male,56,Clothing,4,50,200
278,2023-04-12,CUST278,Male,37,Clothing,2,25,50
279,2023-04-12,CUST279,Female,25,Clothing,4,50,200
280,2023-04-12,CUST280,Female,56,Clothing,3,50,150
281,2023-04-13,CUST281,Male,21,Beauty,1,50,50
282,2023-04-13,CUST282,Female,48,Electronics,3,300,900
283,2023-04-14,CUST283,Female,55,Beauty,3,50,150
284,2023-04-14,CUST284,Male,59,Beauty,3,25,75
285,2023-04-14,CUST285,Male,23,Electronics,2,500,1000
286,2023-04-15,CUST286,Female,34,Electronics,3,500,1500
287,2023-04-15,CUST287,Male,44,Electronics,4,300,1200
288,2023-04-15,CUST288,Male,49,Electronics,2,500,1000
289,2023-04-16,CUST289,Female,24,Electronics,1,300,300
290,2023-04-16,CUST290,Female,43,Electronics,3,300,900
291,2023-04-16,CUST291,Male,29,Electronics,1,300,300
292,2023-04-17,CUST292,Female,35,Beauty,4,25,100
293,2023-04-17,CUST293,Male,49,Beauty,4,50,200
294,2023-04-18,CUST294,Male,49,Clothing,3,25,75
295,2023-04-18,CUST295,Male,38,Beauty,4,25,100
296,2023-04-18,CUST296,Female,44,Clothing,4,50,200
297,2023-04-19,CUST297,Male,57,Clothing,4,50,200
298,2023-04-19,CUST298,Male,28,Clothing,2,300,600
299,2023-04-19,CUST299,Female,56,Clothing,1,25,25
300,2023-04-20,CUST300,Female,22,Electronics,3,500,1500
301,2023-04-20,CUST301,Female,57,Beauty,1,25,25
302,2023-04-20,CUST302,Female,33,Clothing,2,25,50
303,2023-04-21,CUST303,Female,31,Electronics,4,500,2000
304,2023-04-21,CUST304,Female,53,Clothing,4,25,100
305,2023-04-22,CUST305,Female,56,Electronics,2,500,1000
306,2023-04-22,CUST306,Female,29,Electronics,4,500,2000
307,2023-04-22,CUST307,Male,57,Clothing,3,50,150
308,2023-04-23,CUST308,Male,29,Clothing,3,25,75
309,2023-04-23,CUST309,Female,54,Beauty,1,25,25
310,2023-04-23,CUST310,Male,36,Clothing,2,25,50
311,2023-04-24,CUST311,Male,29,Beauty,2,30,60
312,2023-04-24,CUST312,Male,52,Electronics,3,500,1500
313,2023-04-24,CUST313,Male,34,Clothing,4,25,100
314,2023-04-25,CUST314,Female,46,Clothing,2,300,600
315,2023-04-25,CUST315,Male,27,Clothing,2,25,50
316,2023-04-26,CUST316,Female,55,Beauty,4,50,200
317,2023-04-26,CUST317,Female,26,Electronics,2,500,1000
318,2023-04-26,CUST318,Female,35,Clothing,4,25,100
319,2023-04-27,CUST319,Female,62,Electronics,1,500,500
320,2023-04-27,CUST320,Female,46,Clothing,1,300,300
321,2023-04-27,CUST321,Female,43,Beauty,4,30,120
322,2023-04-28,CUST322,Female,48,Clothing,1,50,50
323,2023-04-28,CUST323,Male,55,Electronics,4,500,2000
324,2023-04-29,CUST324,Female,48,Clothing,4,25,100
325,2023-04-29,CUST325,Female,36,Beauty,2,30,60
326,2023-04-29,CUST326,Female,30,Electronics,4,300,1200
327,2023-04-30,CUST327,Female,19,Beauty,4,25,100
328,2023-04-30,CUST328,Female,45,Electronics,4,300,1200
329,2023-04-30,CUST329,Female,28,Electronics,4,500,2000
330,2023-05-01,CUST330,Male,21,Clothing,4,300,1200
331,2023-05-01,CUST331,Male,34,Clothing,3,25,75
332,2023-05-01,CUST332,Male,45,Beauty,3,30,90
333,2023-05-02,CUST333,Female,24,Clothing,3,50,150
334,2023-05-02,CUST334,Male,18,Clothing,1,50,50
335,2023-05-03,CUST335,Female,25,Clothing,2,50,100
336,2023-05-03,CUST336,Female,43,Beauty,1,30,30
337,2023-05-03,CUST337,Female,21,Beauty,1,50,50
338,2023-05-04,CUST338,Male,54,Clothing,3,300,900
339,2023-05-04,CUST339,Female,62,Beauty,3,25,75
340,2023-05-04,CUST340,Male,39,Clothing,2,50,100
341,2023-05-05,CUST341,Male,26,Beauty,4,30,120
342,2023-05-05,CUST342,Female,56,Clothing,1,50,50
343,2023-05-05,CUST343,Female,60,Beauty,2,50,100
344,2023-05-06,CUST344,Female,51,Clothing,4,25,100
345,2023-05-06,CUST345,Female,54,Electronics,1,500,500
346,2023-05-07,CUST346,Female,22,Beauty,2,25,50
347,2023-05-07,CUST347,Female,45,Clothing,1,300,300
348,2023-05-07,CUST348,Female,31,Beauty,2,30,60
349,2023-05-08,CUST349,Female,31,Clothing,1,300,300
350,2023-05-08,CUST350,Male,59,Clothing,4,50,200
351,2023-05-08,CUST351,Female,26,Clothing,1,25,25
352,2023-05-09,CUST352,Male,24,Beauty,3,30,90
353,2023-05-09,CUST353,Female,48,Clothing,1,50,50
354,2023-05-09,CUST354,Male,30,Electronics,4,300,1200
355,2023-05-10,CUST355,Male,52,Clothing,3,25,75
356,2023-05-10,CUST356,Male,21,Clothing,4,25,100
357,2023-05-11,CUST357,Female,58,Electronics,4,500,2000
358,2023-05-11,CUST358,Male,34,Beauty,2,50,100
359,2023-05-11,CUST359,Male,23,Electronics,4,500,2000
360,2023-05-12,CUST360,Female,58,Clothing,4,300,1200
361,2023-05-12,CUST361,Female,47,Electronics,4,500,2000
362,2023-05-12,CUST362,Female,40,Electronics,3,500,1500
363,2023-05-13,CUST363,Female,55,Clothing,1,50,50
364,2023-05-13,CUST364,Female,41,Clothing,3,50,150
365,2023-05-13,CUST365,Female,54,Beauty,4,50,200
366,2023-05-14,CUST366,Female,61,Clothing,4,50,200
367,2023-05-14,CUST367,Male,52,Beauty,4,25,100
368,2023-05-15,CUST368,Female,24,Electronics,3,300,900
369,2023-05-15,CUST369,Female,24,Beauty,4,50,200
370,2023-05-15,CUST370,Female,42,Clothing,2,300,600
371,2023-05-16,CUST371,Male,30,Clothing,3,50,150
372,2023-05-16,CUST372,Female,35,Clothing,2,50,100
373,2023-05-16,CUST373,Female,49,Beauty,2,25,50
374,2023-05-17,CUST374,Male,55,Beauty,3,50,150
375,2023-05-17,CUST375,Female,18,Electronics,4,300,1200
376,2023-05-18,CUST376,Female,28,Electronics,1,300,300
377,2023-05-18,CUST377,Male,62,Clothing,4,300,1200
378,2023-05-18,CUST378,Male,22,Electronics,2,500,1000
379,2023-05-19,CUST379,Female,49,Electronics,3,300,900
380,2023-05-19,CUST380,Female,28,Beauty,2,50,100
381,2023-05-19,CUST381,Male,47,Clothing,3,50,150
382,2023-05-20,CUST382,Female,51,Beauty,4,30,120
383,2023-05-20,CUST383,Female,59,Clothing,4,25,100
384,2023-05-20,CUST384,Male,31,Beauty,3,25,75
385,2023-05-21,CUST385,Male,37,Electronics,4,300,1200
386,2023-05-21,CUST386,Male,59,Electronics,4,500,2000
387,2023-05-22,CUST387,Male,30,Clothing,1,300,300
388,2023-05-22,CUST388,Female,62,Clothing,3,50,150
389,2023-05-22,CUST389,Female,61,Clothing,2,300,600
390,2023-05-23,CUST390,Male,34,Clothing,4,50,200
391,2023-05-23,CUST391,Male,55,Clothing,2,50,100
392,2023-05-23,CUST392,Female,32,Electronics,1,300,300
393,2023-05-24,CUST393,Female,54,Electronics,4,300,1200
394,2023-05-24,CUST394,Male,22,Electronics,2,500,1000
395,2023-05-24,CUST395,Female,18,Electronics,1,300,300
396,2023-05-25,CUST396,Female,55,Clothing,3,50,150
397,2023-05-25,CUST397,Female,29,Beauty,3,30,90
398,2023-05-26,CUST398,Female,62,Clothing,3,300,900
399,2023-05-26,CUST399,Male,23,Electronics,1,500,500
400,2023-05-26,CUST400,Female,58,Electronics,4,500,2000
401,2023-05-27,CUST401,Male,64,Clothing,2,50,100
402,2023-05-27,CUST402,Female,34,Clothing,2,300,600
403,2023-05-27,CUST403,Male,34,Clothing,3,50,150
404,2023-05-28,CUST404,Female,28,Beauty,2,25,50
405,2023-05-28,CUST405,Male,23,Beauty,1,50,50
406,2023-05-28,CUST406,Male,41,Beauty,4,25,100
407,2023-05-29,CUST407,Female,21,Electronics,4,300,1200
408,2023-05-29,CUST408,Female,56,Clothing,1,25,25
409,2023-05-30,CUST409,Male,36,Beauty,4,25,100
410,2023-05-30,CUST410,Male,48,Beauty,1,25,25
411,2023-05-30,CUST411,Male,34,Clothing,1,25,25
412,2023-05-31,CUST412,Female,49,Clothing,2,300,600
413,2023-05-31,CUST413,Male,60,Beauty,1,50,50
414,2023-05-31,CUST414,Male,39,Electronics,2,500,1000
415,2023-06-01,CUST415,Female,51,Beauty,4,50,200
416,2023-06-01,CUST416,Female,28,Clothing,3,25,75
417,2023-06-01,CUST417,Female,62,Electronics,4,300,1200
418,2023-06-02,CUST418,Female,49,Electronics,2,500,1000
419,2023-06-02,CUST419,Female,37,Beauty,1,25,25
420,2023-06-03,CUST420,Female,20,Electronics,4,500,2000
421,2023-06-03,CUST421,Male,37,Beauty,2,25,50
422,2023-06-03,CUST422,Male,49,Clothing,4,300,1200
423,2023-06-04,CUST423,Female,37,Clothing,3,25,75
424,2023-06-04,CUST424,Male,57,Clothing,3,25,75
425,2023-06-04,CUST425,Female,57,Electronics,4,300,1200
426,2023-06-05,CUST426,Male,51,Beauty,3,25,75
427,2023-06-05,CUST427,Male,62,Clothing,2,25,50
428,2023-06-06,CUST428,Female,62,Electronics,1,300,300
429,2023-06-06,CUST429,Female,48,Electronics,1,300,300
430,2023-06-06,CUST430,Male,57,Beauty,4,50,200
431,2023-06-07,CUST431,Male,30,Clothing,4,300,1200
432,2023-06-07,CUST432,Female,34,Beauty,2,50,100
433,2023-06-07,CUST433,Female,34,Beauty,1,50,50
434,2023-06-08,CUST434,Male,24,Electronics,1,300,300
435,2023-06-08,CUST435,Male,22,Clothing,2,25,50
436,2023-06-08,CUST436,Female,63,Beauty,3,50,150
437,2023-06-09,CUST437,Female,38,Beauty,1,50,50
438,2023-06-09,CUST438,Female,48,Electronics,4,500,2000
439,2023-06-10,CUST439,Male,30,Electronics,3,300,900
440,2023-06-10,CUST440,Male,51,Clothing,1,300,300
441,2023-06-10,CUST441,Male,44,Beauty,3,30,90
442,2023-06-11,CUST442,Female,36,Clothing,3,300,900
443,2023-06-11,CUST443,Male,24,Beauty,1,25,25
444,2023-06-11,CUST444,Female,20,Electronics,1,300,300
445,2023-06-12,CUST445,Female,44,Electronics,2,500,1000
446,2023-06-12,CUST446,Male,64,Electronics,4,300,1200
447,2023-06-12,CUST447,Male,43,Electronics,1,300,300
448,2023-06-13,CUST448,Female,31,Beauty,1,50,50
449,2023-06-13,CUST449,Female,45,Electronics,4,500,2000
450,2023-06-14,CUST450,Male,55,Beauty,2,25,50
451,2023-06-14,CUST451,Male,63,Clothing,3,25,75
452,2023-06-14,CUST452,Male,39,Clothing,4,50,200
453,2023-06-15,CUST453,Female,61,Beauty,2,30,60
454,2023-06-15,CUST454,Male,23,Clothing,3,25,75
455,2023-06-15,CUST455,Female,43,Clothing,4,300,1200
456,2023-06-16,CUST456,Female,30,Beauty,2,30,60
457,2023-06-16,CUST457,Male,24,Beauty,1,30,30
458,2023-06-16,CUST458,Female,27,Electronics,1,300,300
459,2023-06-17,CUST459,Female,28,Beauty,3,30,90
